#{"t_start": 1692018644.9276133, "env_id": null}
r,l,t
-100.0,23,45.920912
-180.0,27,45.935846
100.0,13,45.976919
-560.0,46,46.002309
-40.0,20,46.034601
-360.0,36,46.062236
-200.0,28,46.062312
20.0,17,46.086751
-220.0,29,46.105579
-300.0,33,46.144263
-240.0,30,46.165455
20.0,17,46.214136
-40.0,20,46.214194
-600.0,48,46.225046
-500.0,43,46.241747
-740.0,55,46.253212
-660.0,51,46.268207
-60.0,21,46.323267
0.0,18,46.345987
-120.0,24,46.367377
-240.0,30,46.39986
-140.0,25,46.416201
-20.0,19,46.452603
-40.0,20,62.901143
-220.0,29,62.916259
-440.0,40,62.936843
-40.0,20,62.944698
-260.0,31,62.953736
20.0,17,62.973942
-1020.0,69,63.000466
-220.0,29,63.048459
-220.0,29,63.058313
-100.0,23,63.071269
-560.0,46,63.089983
120.0,12,63.120715
0.0,18,63.134138
-380.0,37,63.149324
-760.0,56,63.167117
-180.0,27,63.185972
-100.0,23,63.202293
-20.0,19,63.210641
-620.0,49,63.233914
-320.0,34,63.242653
-120.0,24,63.260224
-120.0,24,63.300293
-520.0,44,63.322235
-380.0,37,63.346898
-140.0,25,63.361787
-140.0,25,63.377842
40.0,16,63.404362
-240.0,30,63.430682
-280.0,32,63.490019
-160.0,26,63.490074
20.0,17,63.498742
20.0,17,63.535131
-520.0,44,63.547748
-620.0,49,63.571782
-80.0,22,63.571838
-80.0,22,63.583416
-600.0,48,63.605533
0.0,18,63.643877
-60.0,21,63.656331
-180.0,27,63.683145
-20.0,19,63.699394
-420.0,39,63.716703
-560.0,46,63.732317
-660.0,51,63.763641
-20.0,19,63.79802
-20.0,19,63.812513
-240.0,30,63.827746
-480.0,42,63.841559
-120.0,24,63.877693
40.0,16,63.898035
0.0,18,63.909607
-120.0,24,63.952457
-720.0,54,63.971022
-300.0,33,63.984318
-160.0,26,64.005735
20.0,17,64.027048
-480.0,42,64.042581
40.0,16,64.048691
-620.0,49,64.057623
-440.0,40,64.110436
-20.0,19,64.110492
-80.0,22,64.134945
-780.0,57,64.149306
-140.0,25,64.164664
-200.0,28,64.174814
-100.0,23,64.195576
-120.0,24,64.227031
-420.0,39,64.238895
-180.0,27,64.252602
-300.0,33,64.281195
20.0,17,64.310907
-360.0,36,64.332588
-180.0,27,64.352597
0.0,18,64.366313
-140.0,25,64.377656
-20.0,19,64.40798
-1030.0,68,64.423864
40.0,16,64.4489
0.0,18,64.448948
-240.0,30,64.475516
-240.0,30,64.503486
-120.0,24,64.520761
-20.0,19,64.538275
-240.0,30,64.560862
-280.0,32,64.585249
-180.0,27,64.609256
0.0,18,64.610003
20.0,17,64.623749
40.0,16,64.727387
20.0,17,64.749759
-360.0,36,64.76191
-320.0,34,64.785455
-200.0,28,64.805987
-260.0,31,64.82412
20.0,17,64.824172
60.0,15,64.837626
-200.0,28,64.888167
-100.0,23,64.895519
-20.0,19,64.902309
-40.0,20,64.911208
-40.0,20,64.919483
-80.0,22,64.930978
-260.0,31,64.997748
-220.0,29,65.015149
-300.0,33,65.02746
-380.0,37,65.040335
-620.0,49,65.084147
-100.0,23,65.106018
-760.0,56,65.10645
-140.0,25,65.127558
-1010.0,52,65.174379
-160.0,26,65.188851
-80.0,22,65.199902
-320.0,34,65.216558
-420.0,39,65.24013
-20.0,19,65.266155
-1100.0,73,65.290862
-160.0,26,65.297435
-260.0,31,65.310957
-20.0,19,65.324862
-40.0,20,65.358243
-420.0,39,65.382595
-120.0,24,65.409262
-160.0,26,65.430487
-80.0,22,65.443939
-220.0,29,65.45578
-420.0,39,65.475165
40.0,16,65.487319
100.0,13,65.51326
-540.0,45,65.557977
-220.0,29,65.58689
-180.0,27,65.586968
-400.0,38,65.597913
-460.0,41,65.620156
20.0,17,65.636299
-60.0,21,65.672373
-480.0,42,65.686476
-20.0,19,65.722264
-140.0,25,65.745074
-300.0,33,65.761181
40.0,16,65.782947
-40.0,20,65.798193
40.0,16,65.823768
-60.0,21,65.846789
60.0,15,65.84685
-840.0,60,65.870085
-320.0,34,65.880751
-160.0,26,65.893863
-60.0,21,65.910646
-80.0,22,65.941232
-160.0,26,65.988747
-100.0,23,65.988836
-60.0,21,66.005715
-260.0,31,66.019664
-460.0,41,66.033947
-240.0,30,66.072125
-60.0,21,66.094595
-200.0,28,66.128847
-280.0,32,66.128906
-320.0,34,66.144139
-480.0,42,66.182542
-320.0,34,66.208847
-140.0,25,66.242425
-180.0,27,66.253989
-180.0,27,66.268869
-640.0,50,66.298941
-120.0,24,66.312261
-360.0,36,66.342138
-220.0,29,66.362796
-360.0,36,66.399795
-620.0,49,66.440273
-300.0,33,66.440345
-20.0,19,66.449835
-100.0,23,66.523179
-200.0,28,66.540823
-1060.0,71,66.568657
-920.0,64,66.584303
-700.0,53,66.615598
-540.0,45,66.625757
60.0,15,66.647243
-140.0,25,66.660487
-280.0,32,66.671677
-20.0,19,66.689683
80.0,14,66.720294
20.0,17,66.751225
-200.0,28,66.751283
-60.0,21,66.773667
-340.0,35,66.785276
-20.0,19,66.803256
-500.0,43,66.832925
-60.0,21,66.859017
-160.0,26,66.876331
-180.0,27,66.90209
-1050.0,54,66.934073
-160.0,26,66.950689
-920.0,64,66.970685
-500.0,43,66.986391
-480.0,42,67.001909
-160.0,26,67.039307
80.0,14,67.056376
-20.0,19,67.069539
-180.0,27,67.086343
-140.0,25,67.135451
40.0,16,67.168096
-1020.0,69,67.192374
-300.0,33,67.209124
-380.0,37,67.228823
-220.0,29,67.248261
-600.0,48,67.273052
-20.0,19,67.30425
80.0,14,67.316409
-280.0,32,67.332824
-460.0,41,67.344252
-240.0,30,67.356909
100.0,13,67.384375
-100.0,23,67.399988
60.0,15,67.41681
-140.0,25,67.4481
-60.0,21,67.4923
-340.0,35,67.492347
-140.0,25,67.501709
-300.0,33,67.521716
-80.0,22,67.539376
80.0,14,67.564622
-1030.0,53,67.564676
-180.0,27,67.597793
-160.0,26,67.615419
-160.0,26,67.639123
-80.0,22,67.639179
-380.0,37,67.658091
-100.0,23,67.696697
-380.0,37,67.7062
-20.0,19,67.725225
-120.0,24,67.744635
-40.0,20,67.74469
-300.0,33,67.785747
-60.0,21,67.795903
-120.0,24,67.810645
-60.0,21,67.826298
-160.0,26,67.844756
-20.0,19,67.877285
-160.0,26,67.903938
-540.0,45,67.92157
-260.0,31,67.935385
-280.0,32,67.968467
60.0,15,67.990553
-260.0,31,68.011771
-520.0,44,68.028627
40.0,16,68.067238
-280.0,32,68.084804
60.0,15,68.106064
40.0,16,68.14873
-300.0,33,68.179864
-180.0,27,68.179921
-160.0,26,68.193227
-740.0,55,68.211195
-1020.0,69,68.231673
-40.0,20,68.250845
-140.0,25,68.269316
-60.0,21,68.279679
-200.0,28,68.292006
-340.0,35,68.303393
-80.0,22,68.322971
-80.0,22,68.344109
-20.0,19,68.362441
-180.0,27,68.388111
-100.0,23,68.399051
80.0,14,68.418285
0.0,18,68.418342
-520.0,44,68.450067
40.0,16,68.465818
-600.0,48,68.487492
-40.0,20,68.502401
-100.0,23,68.524
-40.0,20,68.553297
0.0,18,68.575234
-480.0,42,68.586499
-400.0,38,68.626453
-640.0,50,68.636735
-200.0,28,68.647433
-120.0,24,68.657434
-460.0,41,68.669179
-400.0,38,68.703402
60.0,15,68.713088
-80.0,22,68.736831
-140.0,25,68.754422
-120.0,24,68.769783
-100.0,23,68.806897
-120.0,24,68.820351
0.0,18,68.835129
-80.0,22,68.85077
-760.0,56,68.879447
-340.0,35,68.897589
0.0,18,68.920107
0.0,18,68.931667
0.0,18,68.949091
60.0,15,68.988032
-280.0,32,68.997887
20.0,17,69.019615
80.0,14,69.042261
-240.0,30,69.066101
-380.0,37,69.094432
-700.0,53,69.122263
-280.0,32,69.170255
-40.0,20,69.183427
-720.0,54,69.212225
-160.0,26,69.231329
-760.0,56,69.246974
120.0,12,69.268303
-140.0,25,69.289409
-340.0,35,69.32993
-120.0,24,69.346281
-940.0,65,69.366107
0.0,18,69.382579
40.0,16,69.406917
40.0,16,69.420317
-500.0,43,69.442344
-60.0,21,69.477469
-320.0,34,69.49054
-140.0,25,69.505694
-1150.0,59,69.545222
-60.0,21,69.545474
-60.0,21,69.609203
-680.0,52,69.60927
-80.0,22,69.624641
-20.0,19,69.638934
