#{"t_start": 1693318771.3057616, "env_id": null}
r,l,t
535,25,396.36756
540,24,396.48038
510,30,396.62555
550,22,396.718709
575,17,396.784033
535,25,396.9089
460,40,397.073587
575,17,397.147553
555,21,397.220015
555,21,397.302509
555,21,397.39647
575,17,397.482464
460,40,397.655516
365,59,397.925528
550,22,398.02847
395,53,398.253158
530,26,398.377399
445,43,410.792836
550,22,410.906179
480,36,411.12228
510,30,411.275209
570,18,411.355541
485,35,411.584751
580,16,411.70087
565,19,411.818126
520,28,411.971996
535,25,412.095424
505,31,412.256988
510,30,412.412867
565,19,412.532713
535,25,412.69587
440,44,412.933451
530,26,413.112828
580,16,413.194777
520,28,413.319378
575,17,413.401429
575,17,413.481901
555,21,413.566033
510,30,413.700716
580,16,413.775244
540,24,413.888501
515,29,414.030417
570,18,414.130567
500,32,414.262024
510,30,414.395194
545,23,414.470353
395,53,414.682989
560,20,414.790127
550,22,414.885701
525,27,414.999296
525,27,415.119708
510,30,415.224008
545,23,415.340489
525,27,415.473848
570,18,415.545104
590,14,415.599155
515,29,415.715251
370,58,415.96192
590,14,416.037967
445,43,416.226147
580,16,416.298133
530,26,416.400974
495,33,416.527541
490,34,416.675005
545,23,416.76114
515,29,416.888914
525,27,416.99437
560,20,417.077609
550,22,417.187798
560,20,417.28349
510,30,417.406711
510,30,417.534396
420,48,417.73548
525,27,417.839042
550,22,417.943884
565,19,418.036802
460,40,418.23715
505,31,418.38508
575,17,418.478453
500,32,418.627035
500,32,418.771469
530,26,418.89746
575,17,418.974202
550,22,419.083398
565,19,419.173624
530,26,419.30721
550,22,419.405712
580,16,419.474506
465,39,419.659469
465,39,419.864269
505,31,419.993548
575,17,420.081684
565,19,420.178192
585,15,420.252078
570,18,434.022037
525,27,434.159258
565,19,434.261524
530,26,434.377298
465,39,434.509504
560,20,434.620301
415,49,434.820195
510,30,434.93163
555,21,435.015684
550,22,435.087144
590,14,435.13602
565,19,435.217508
570,18,435.31685
570,18,435.389361
530,26,435.505229
575,17,435.592457
600,12,435.643534
545,23,435.745216
585,15,435.812944
555,21,435.906903
580,16,435.988989
565,19,436.066978
495,33,436.202389
565,19,436.278025
465,39,436.441105
580,16,436.510924
430,46,436.706903
590,14,436.783449
535,25,436.892537
555,21,436.967046
595,13,437.031629
550,22,437.121392
570,18,437.202273
525,27,437.324296
545,23,437.496744
480,36,437.665828
400,52,437.886531
580,16,437.95572
530,26,438.087891
465,39,438.248912
545,23,438.363922
520,28,438.496449
540,24,438.614023
475,37,438.792566
470,38,438.979298
395,53,439.215017
585,15,439.288326
585,15,439.363312
515,29,439.510973
360,60,439.749647
580,16,439.806252
260,69,440.082499
570,18,440.160658
570,18,440.238956
470,38,440.404424
510,30,440.519032
570,18,440.613388
425,47,440.821888
590,14,440.881947
530,26,440.977118
440,44,441.204528
355,61,441.433141
550,22,441.545295
555,21,441.641129
510,30,441.787361
535,25,441.881763
355,61,442.117278
500,32,442.249
595,13,442.311613
530,26,442.421999
440,44,442.600736
575,17,442.68438
530,26,442.80017
525,27,442.920946
495,33,456.617799
455,41,456.792882
525,27,456.915818
455,41,457.112596
580,16,457.17646
445,43,457.362127
565,19,457.455961
485,35,457.598048
520,28,457.739743
515,29,457.860377
570,18,457.94773
580,16,458.027248
575,17,458.101269
510,30,458.24089
590,14,458.309068
555,21,458.423837
240,84,458.815621
470,38,458.987527
445,43,459.193738
430,46,459.389227
435,45,459.63096
255,70,459.891812
550,22,459.998317
485,35,460.131109
530,26,460.24417
525,27,460.336581
565,19,460.420736
575,17,460.489509
590,14,460.540153
510,30,460.663114
485,35,460.807717
570,18,460.883697
560,20,460.967875
570,18,461.031928
565,19,461.099803
565,19,461.191124
580,16,461.267087
565,19,461.345146
560,20,461.440116
550,22,461.527628
580,16,461.622597
570,18,461.707335
550,22,461.794824
500,32,461.953415
495,33,462.082076
565,19,462.170589
565,19,462.251937
580,16,462.311498
545,23,462.400783
510,30,462.534172
575,17,462.605752
530,26,462.707078
570,18,462.79832
520,28,462.899563
540,24,463.012651
560,20,463.081405
575,17,463.172471
485,35,463.344544
525,27,463.454237
540,24,463.580964
575,17,463.650553
555,21,463.757644
430,46,463.945468
420,48,464.170604
460,40,464.331552
525,27,464.456093
560,20,464.541006
425,47,464.750044
490,34,464.901715
390,54,465.149985
545,23,465.260018
585,15,465.327815
580,16,465.389151
340,64,479.323397
590,14,479.39141
580,16,479.464644
560,20,479.54084
480,36,479.707653
565,19,479.778644
575,17,479.84458
455,41,480.035271
520,28,480.149526
505,31,480.297584
535,25,480.418648
550,22,480.501593
375,57,480.733804
515,29,480.841232
555,21,480.915383
