#{"t_start": 1692020210.5754473, "env_id": null}
r,l,t
-20,19,292.740423
-180,27,292.829434
-760,56,293.065542
-140,25,293.177002
-20,19,293.277566
-100,23,293.385018
0,18,293.47556
-580,47,293.718448
-540,45,311.214016
60,15,311.271807
-160,26,311.404276
-860,61,311.656264
-20,19,311.739821
0,18,311.800872
-280,32,311.920201
100,13,311.993453
-60,21,312.086739
-80,22,312.204109
40,16,312.275194
100,13,312.330225
-100,23,312.45282
-120,24,312.581047
-480,42,312.737746
-40,20,312.829694
60,15,312.892878
-360,36,313.041249
-60,21,313.159731
60,15,313.23088
-500,43,313.367969
-160,26,313.479285
-100,23,313.623395
100,13,313.680576
-360,36,313.842132
120,12,313.905374
-220,29,314.035678
-420,39,314.234095
-1000,68,314.550177
-40,20,314.686537
-1090,56,314.918731
40,16,314.978623
-120,24,315.077155
-440,40,315.243751
-200,28,315.330576
-200,28,315.477014
-40,20,315.55642
-220,29,315.672573
-380,37,315.831198
-220,29,315.942646
-320,34,316.066406
-200,28,316.220772
40,16,316.313057
-200,28,316.419245
-400,38,316.55158
-20,19,316.630866
-120,24,316.742331
-200,28,316.835985
-300,33,316.96749
-340,35,317.139975
-20,19,317.194269
-100,23,317.285684
-120,24,317.40164
-720,54,317.596803
-80,22,317.681896
-640,50,317.870799
-180,27,317.998166
-40,20,318.086618
-220,29,318.194638
-360,36,318.338062
-160,26,318.465335
60,15,318.54844
40,16,318.611016
60,15,318.653199
-120,24,318.800884
-800,58,318.995797
-200,28,319.108061
-300,33,319.25593
80,14,319.33024
-120,24,319.462158
0,18,319.562083
-360,36,319.708885
-840,60,319.927062
100,13,336.913298
-60,21,336.982641
-100,23,337.088553
-40,20,337.181273
0,18,337.2547
80,14,337.304052
20,17,337.395163
-160,26,337.503257
-300,33,337.689891
-760,56,337.980145
-680,52,338.169805
60,15,338.238556
0,18,338.332086
20,17,338.394698
-180,27,338.555883
-360,36,338.731058
80,14,338.776945
-480,42,338.969871
100,13,339.016873
-200,28,339.152897
-60,21,339.237044
0,18,339.332884
-220,29,339.449005
-540,45,339.69227
-260,31,339.808599
0,18,339.916975
-60,21,340.038446
-800,58,340.333902
-1070,55,340.574845
-240,30,340.702144
-180,27,340.887678
-300,33,341.034688
-40,20,341.128505
-120,24,341.25182
-120,24,341.350094
-120,24,341.430209
-80,22,341.54459
60,15,341.596368
-200,28,341.725863
-640,50,341.98202
0,18,342.056504
-160,26,342.175757
-620,49,342.371229
100,13,342.4444
-540,45,342.609053
-120,24,342.736793
-520,44,342.924475
-1010,52,343.12742
40,16,343.195365
-180,27,343.317407
-160,26,343.408392
-680,52,343.62935
-60,21,343.710197
-320,34,343.898657
0,18,343.992242
-260,31,344.126549
-180,27,344.23783
60,15,344.325862
-120,24,344.432137
-360,36,344.564976
-180,27,344.67076
-60,21,344.790277
-740,55,345.045182
-40,20,345.131681
40,16,345.186857
-60,21,345.297003
-40,20,345.3922
40,16,345.474602
-180,27,345.615505
-220,29,345.766514
-880,62,346.090915
-120,24,346.198967
-140,25,362.094774
0,18,362.17873
0,18,362.27131
-100,23,362.349151
-380,37,362.495979
-200,28,362.620388
-760,56,362.852899
-260,31,362.954277
-280,32,363.105776
-100,23,363.201852
-140,25,363.280237
-460,41,363.470875
-340,35,363.613352
-300,33,363.764048
0,18,363.834765
20,17,363.924814
-300,33,364.117374
0,18,364.226842
-800,58,364.483677
100,13,364.562522
80,14,364.612128
-460,41,364.785324
-600,48,364.943327
-540,45,365.152856
-60,21,365.286442
0,18,365.364177
-400,38,365.55348
-420,39,365.734431
100,13,365.800491
120,12,365.843599
60,15,365.906854
-160,26,365.982876
-20,19,366.081883
-220,29,366.197497
20,17,366.334603
-80,22,366.443406
20,17,366.507186
-160,26,366.57557
-20,19,366.634115
-220,29,366.755626
-620,49,366.959597
-220,29,367.0926
-140,25,367.181721
100,13,367.229707
-100,23,367.303577
-40,20,367.376785
-260,31,367.555176
-240,30,367.714819
-320,34,367.838427
-380,37,367.985134
-1020,69,368.353663
-240,30,368.467748
-100,23,368.56429
-60,21,368.665031
-200,28,368.773878
-40,20,368.907798
0,18,368.98992
-40,20,369.084561
-1120,74,369.327399
-20,19,369.390159
60,15,369.451077
-220,29,369.582151
-40,20,369.678224
-600,48,369.8961
-80,22,370.021893
-960,66,370.253999
-100,23,370.372973
-40,20,370.509869
-80,22,370.59447
-380,37,370.764821
-120,24,370.856863
-460,41,387.109629
-360,36,387.229172
60,15,387.29126
-80,22,387.375813
-140,25,387.485378
-360,36,387.660835
0,18,387.715065
-340,35,387.866246
-420,39,387.994408
40,16,388.037122
-280,32,388.189716
-220,29,388.332321
-280,32,388.45653
20,17,388.531703
-40,20,388.624195
-620,49,388.81652
-20,19,388.892823
0,18,388.987257
20,17,389.10282
-260,31,389.259036
40,16,389.351784
60,15,389.428058
-80,22,389.523345
40,16,389.610646
-300,33,389.754355
40,16,389.863929
-280,32,389.985231
-80,22,390.073939
80,14,390.130934
-500,43,390.290541
40,16,390.386629
0,18,390.481801
-140,25,390.597997
-620,49,390.8278
80,14,390.898945
20,17,390.948151
-300,33,391.103041
-40,20,391.192688
-400,38,391.340806
-420,39,391.469251
100,13,391.5277
-20,19,391.606487
-660,51,391.84072
120,12,391.901871
-100,23,392.027444
-20,19,392.148583
-160,26,392.223864
-400,38,392.392187
-160,26,392.474771
-60,21,392.584784
-360,36,392.757818
-40,20,392.848573
40,16,392.94911
-60,21,393.036662
-100,23,393.108401
-120,24,393.220098
-20,19,393.326111
80,14,393.386193
100,13,393.478991
-40,20,393.563714
-460,41,393.745982
-220,29,393.882436
-340,35,394.037837
-660,51,394.214779
-80,22,394.32843
-20,19,394.436106
-120,24,394.559345
-320,34,394.702919
-820,59,394.940729
-560,46,395.090014
-260,31,395.235496
60,15,395.281985
-220,29,395.427308
120,12,395.487498
-240,30,395.592578
-460,41,395.770902
100,13,395.82895
-140,25,395.958414
-480,42,412.521315
0,18,412.598597
40,16,412.647476
-680,52,412.873966
-1350,84,413.216271
80,14,413.259924
-260,31,413.376038
20,17,413.447349
-260,31,413.582621
-140,25,413.670302
40,16,413.760006
100,13,413.833447
-1010,52,414.112282
-260,31,414.243721
120,12,414.290118
-100,23,414.375326
-20,19,414.471488
-100,23,414.59464
-260,31,414.698166
100,13,414.774075
60,15,414.833223
-1300,83,415.187624
0,18,415.272619
-200,28,415.41832
0,18,415.530568
20,17,415.643138
20,17,415.724918
-920,64,416.017253
-120,24,416.124272
-540,45,416.314525
-380,37,416.459358
-80,22,416.544825
-300,33,416.665053
-200,28,416.82554
60,15,416.877024
60,15,416.961123
-700,53,417.19141
40,16,417.275708
-80,22,417.371953
-160,26,417.470496
40,16,417.56737
-480,42,417.75864
0,18,417.836579
-340,35,417.961028
-120,24,418.084266
-20,19,418.162693
-480,42,418.342794
